hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
14, 1800.00000, 1227.1, 851.34, 1280.21, 789.259, 1307.42, 866.294, 0, 0
14, 2700.00000, 1207.92, 852.189, 1261.55, 791.416, 1287.37, 868.246, 0, 0
15, 0.00000, 1214.92, 855.551, 1269.79, 795.277, 1294.55, 872.933, 0, 0
15, 900.00000, 1182.79, 835.793, 1235.88, 779.7, 1257.91, 853.717, 0, 0
15, 1800.00000, 1070.13, 843.751, 1123.36, 780.956, 1151.13, 858.447, 0, 0
15, 2700.00000, 1069.43, 846.126, 1121.11, 780.023, 1152.52, 857.826, 0, 0
16, 0.00000, 1085.62, 856.552, 1139.02, 788.461, 1171.29, 868.757, 0, 0
16, 900.00000, 1075.38, 851.69, 1129.02, 786.064, 1159.03, 865.335, 0, 0
16, 1800.00000, 1062.06, 844.296, 1114.95, 782.183, 1142.3, 859.043, 0, 0
16, 2700.00000, 922.076, 844.459, 962.431, 751.693, 1022.59, 833.024, 0, 0
17, 0.00000, 936.73, 852.407, 979.327, 760.929, 1037.25, 843.558, 0, 0
17, 900.00000, 949.196, 869.262, 988.473, 768.512, 1056.09, 852.902, 0, 0
17, 1800.00000, 854.125, 894.624, 881.712, 749.584, 993.528, 845.995, 0, 0
17, 2700.00000, 833.315, 881.273, 861.329, 736.832, 972.412, 833.313, 0, 0
18, 0.00000, 827.297, 884.56, 854.821, 731.962, 973.212, 832.098, 0, 0
18, 900.00000, 920.671, 956.152, 950.875, 779.17, 1089.04, 893.818, 0, 0
18, 1800.00000, 935.441, 964.897, 967.318, 792.583, 1100.61, 906.346, 0, 0
18, 2700.00000, 1113.77, 1026.92, 1135.71, 799.069, 1322.07, 931.995, 0, 0
19, 0.00000, 1114.12, 1023.24, 1137.78, 796.404, 1322.4, 930.306, 0, 0
19, 900.00000, 1068.62, 988.906, 1092.76, 767.324, 1272.58, 899.019, 0, 0
19, 1800.00000, 1207.84, 1031.02, 1231.44, 787.961, 1430.14, 929.934, 0, 0
19, 2700.00000, 1230.17, 1046.86, 1254.7, 799.848, 1456.35, 944.6, 0, 0
20, 0.00000, 1209.66, 1033.41, 1233.66, 789.957, 1432.5, 932.476, 0, 0
20, 900.00000, 1199.7, 1021.14, 1225.31, 784.661, 1417.3, 925.072, 0, 0
20, 1800.00000, 1187.22, 1014.96, 1213.61, 778.602, 1405.1, 919.633, 0, 0
20, 2700.00000, 1260.49, 1011.6, 1288.81, 778.841, 1476.23, 919.749, 0, 0
21, 0.00000, 1305.12, 1046.12, 1335.3, 803.048, 1530.72, 950.729, 0, 0
21, 900.00000, 1250.1, 1000.42, 1276.3, 767.337, 1465.05, 906.568, 0, 0
21, 1800.00000, 1295.61, 979.362, 1322.54, 759.316, 1499.64, 892.666, 0, 0
21, 2700.00000, 1251.67, 948.991, 1278.94, 730.565, 1454.47, 863.396, 0, 0
22, 0.00000, 1208.21, 914.754, 1233.15, 704.189, 1403.03, 831.07, 0, 0
22, 900.00000, 1239.38, 938.896, 1265.61, 722.036, 1440.3, 853.18, 0, 0
22, 1800.00000, 1246.29, 942.598, 1272.54, 725.351, 1447.55, 856.708, 0, 0
22, 2700.00000, 1267.99, 925.136, 1292.18, 707.906, 1468.21, 837.472, 0, 0
23, 0.00000, 1253.95, 912.423, 1279.88, 701.103, 1449.92, 829.22, 0, 0
23, 900.00000, 1226.85, 894.89, 1251.47, 688.02, 1418.31, 812.777, 0, 0
23, 1800.00000, 1501.21, 912.748, 1528.19, 708.323, 1691.74, 833.906, 0, 0
23, 2700.00000, 1468.42, 891.101, 1494.46, 689.056, 1656.42, 812.636, 0, 0
24, 0.00000, 1463.24, 887.538, 1490.2, 684.891, 1652.22, 809.564, 0, 0
24, 900.00000, 1436.73, 871.852, 1464.08, 669.937, 1625.27, 794.582, 0, 0
24, 1800.00000, 1380.09, 831.32, 1406.29, 637.597, 1560.96, 757.148, 0, 0
24, 2700.00000, 1194.16, 796.732, 1216.99, 605.873, 1370.86, 721.075, 0, 0
25, 0.00000, 1236.49, 824.142, 1261.36, 631.976, 1415.34, 749.594, 0, 0
25, 900.00000, 1210.41, 804.563, 1235.14, 618.145, 1384.22, 732.764, 0, 0
25, 1800.00000, 1258.54, 794.905, 1281.88, 608.915, 1431.28, 722.131, 0, 0
25, 2700.00000, 1263.62, 798.402, 1288.31, 613.541, 1436.06, 727.351, 0, 0
26, 0.00000, 1283.12, 816.414, 1307.69, 623.949, 1462.08, 741.456, 0, 0
26, 900.00000, 1246.33, 788.199, 1269.88, 603.577, 1417.99, 716.276, 0, 0
26, 1800.00000, 1252.56, 791.751, 1277.39, 607.875, 1424.22, 721.314, 0, 0
26, 2700.00000, 1223.27, 771.327, 1245.76, 591.656, 1390.12, 700.967, 0, 0
27, 0.00000, 1173.65, 738.725, 1195, 564.083, 1335.57, 669.9, 0, 0
27, 900.00000, 1184.79, 744.172, 1207.51, 569.237, 1347.65, 676.381, 0, 0
27, 1800.00000, 1128.91, 722.955, 1149.72, 554.564, 1285.15, 656.785, 0, 0
27, 2700.00000, 1197.88, 771.503, 1221.14, 589.711, 1366.94, 700.751, 0, 0
28, 0.00000, 1182.61, 761.505, 1204.8, 579.758, 1351.1, 689.853, 0, 0
28, 900.00000, 1165.54, 752.382, 1186.89, 570.354, 1333.86, 679.855, 0, 0
28, 1800.00000, 1219.33, 788.25, 1242.28, 600.112, 1393.73, 714.057, 0, 0
28, 2700.00000, 1188.38, 758.29, 1208.17, 575.68, 1356.42, 684.123, 0, 0
29, 0.00000, 1207.85, 767.291, 1229.51, 588.663, 1373.38, 696.742, 0, 0
29, 900.00000, 1190.22, 757.139, 1210.72, 578.724, 1354.98, 685.686, 0, 0
29, 1800.00000, 1295.03, 789.163, 1315.74, 599.511, 1469.63, 712.277, 0, 0
29, 2700.00000, 1282.02, 776.91, 1302.53, 592.757, 1451.76, 702.593, 0, 0
30, 0.00000, 1228.65, 739.157, 1246.86, 562.379, 1390.85, 666.535, 0, 0
30, 900.00000, 1278.66, 773.051, 1298.54, 588.047, 1448.82, 697.769, 0, 0
30, 1800.00000, 1290.95, 781.834, 1310.85, 594.795, 1462.88, 705.543, 0, 0
30, 2700.00000, 1208.13, 732.827, 1229.32, 572.028, 1357.98, 670.775, 0, 0
31, 0.00000, 1251.27, 761.094, 1272.36, 591.787, 1408.44, 694.707, 0, 0
31, 900.00000, 1286.45, 783.081, 1307.3, 608.763, 1447.84, 713.982, 0, 0
31, 1800.00000, 1086.71, 732.936, 1108.6, 588.212, 1222.99, 679.539, 0, 0
31, 2700.00000, 1115.14, 749.644, 1135.86, 605.038, 1250.74, 695.287, 0, 0
