hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 124.557, 124.901, 123.885, 0, 40.4305, 40.5431, 69.9659, 1.24869E-011
0, 1800.00000, 124.864, 125.138, 124.251, 0, 37.7966, 37.8802, 65.4062, 9.23316E-011
0, 2700.00000, 125.089, 125.37, 124.499, 0, 36.1912, 36.2734, 62.6335, 1.40841E-010
1, 0.00000, 124.844, 125.154, 124.193, 0, 38.5848, 38.6814, 66.7697, 5.18457E-011
1, 900.00000, 125, 125.285, 124.372, 0, 36.9917, 37.0767, 64.0128, 5.52593E-011
1, 1800.00000, 125.109, 125.384, 124.497, 0, 35.8056, 35.8852, 61.9616, 4.93589E-011
1, 2700.00000, 125.008, 125.32, 124.358, 0, 37.5261, 37.6207, 64.9386, 2.71328E-011
2, 0.00000, 124.948, 125.204, 124.323, 0, 37.2789, 37.3559, 64.5051, 1.38828E-011
2, 900.00000, 125.115, 125.398, 124.492, 0, 36.3915, 36.4744, 62.9746, 7.78379E-011
2, 1800.00000, 125.092, 125.346, 124.482, 0, 36.2194, 36.2932, 62.6738, 1.43901E-010
2, 2700.00000, 125.299, 125.525, 124.726, 0, 33.882, 33.9434, 58.6309, 1.49087E-010
3, 0.00000, 125.426, 125.754, 124.821, 0, 35.6976, 35.7917, 61.7843, 3.28583E-010
3, 900.00000, 125.46, 125.692, 124.918, 0, 33.8294, 33.8923, 58.5458, 1.27051E-010
3, 1800.00000, 125.644, 125.877, 125.112, 0, 32.1325, 32.1924, 55.6108, 2.51263E-010
3, 2700.00000, 125.291, 125.505, 124.733, 0, 34.4406, 34.5, 59.5983, 3.31885E-010
4, 0.00000, 125.365, 125.577, 124.822, 0, 34.0385, 34.0964, 58.9043, 9.94632E-011
4, 900.00000, 125.38, 125.665, 124.805, 0, 35.5203, 35.6017, 61.4755, 1.21462E-010
4, 1800.00000, 125.169, 125.417, 124.587, 0, 35.7853, 35.8568, 61.9267, 1.84251E-010
4, 2700.00000, 125.472, 125.666, 124.951, 0, 32.4903, 32.5406, 56.2256, 3.71943E-010
5, 0.00000, 125.383, 125.582, 124.839, 0, 32.8877, 32.9403, 56.9108, 1.03922E-010
5, 900.00000, 125.46, 125.649, 124.929, 0, 32.4126, 32.4617, 56.0891, 1.06787E-010
5, 1800.00000, 125.295, 125.454, 124.761, 0, 32.9568, 32.9988, 57.0256, 1.52914E-010
5, 2700.00000, 125.402, 125.544, 124.895, 0, 31.5861, 31.6222, 54.6556, 1.50732E-010
6, 0.00000, 125.714, 125.802, 125.27, 0, 28.8381, 28.8586, 49.9019, 6.55231E-011
6, 900.00000, 125.463, 125.573, 124.994, 0, 30.875, 30.9022, 53.4258, 3.11692E-010
6, 1800.00000, 125.26, 125.528, 124.677, 0, 35.1925, 35.2685, 60.904, 1.59914E-010
6, 2700.00000, 125.535, 125.796, 125.004, 0, 33.6121, 33.6826, 58.1761, 9.30092E-011
7, 0.00000, 125.473, 125.645, 124.997, 0, 31.0426, 31.0855, 53.7238, 1.42931E-010
7, 900.00000, 125.375, 125.541, 124.91, 0, 31.3762, 31.418, 54.3019, 5.47588E-011
7, 1800.00000, 125.672, 125.841, 125.219, 0, 29.5863, 29.6263, 51.2062, 8.01095E-011
7, 2700.00000, 125.761, 125.848, 125.37, 0, 26.7303, 26.7489, 46.2609, 5.46E-011
8, 0.00000, 125.567, 125.654, 125.158, 0, 26.5286, 26.5472, 45.9095, 4.65335E-010
8, 900.00000, 125.877, 125.916, 125.519, 0, 23.713, 23.7202, 41.0372, 1.49686E-010
8, 1800.00000, 125.719, 125.817, 125.336, 0, 26.1301, 26.1506, 45.2243, 1.47653E-011
8, 2700.00000, 125.434, 125.522, 125.035, 0, 27.5422, 27.5616, 47.6649, 6.89614E-011
9, 0.00000, 125.109, 125.19, 124.643, 0, 28.7299, 28.7487, 49.7105, 3.25391E-011
9, 900.00000, 125.277, 125.338, 124.851, 0, 27.1467, 27.1601, 46.9738, 4.16311E-011
9, 1800.00000, 125.428, 125.404, 125.096, 0, 23.1627, 23.1581, 40.0807, 8.72123E-011
9, 2700.00000, 125.61, 125.644, 125.234, 0, 23.9427, 23.9493, 41.4323, 3.27489E-011
10, 0.00000, 125.725, 125.66, 125.419, 0, 20.3506, 20.3401, 35.2135, 1.04049E-010
10, 900.00000, 125.439, 125.421, 125.085, 0, 23.1686, 23.1653, 40.0895, 8.7431E-011
10, 1800.00000, 125.621, 125.517, 125.321, 0, 19.9649, 19.9482, 34.543, 9.07788E-011
10, 2700.00000, 125.523, 125.346, 125.258, 0, 18.959, 18.9321, 32.7993, 1.1843E-010
11, 0.00000, 125.541, 125.409, 125.261, 0, 19.5528, 19.5322, 33.8294, 1.56029E-011
11, 900.00000, 125.543, 125.523, 125.198, 0, 21.1051, 21.1016, 36.5195, 3.90666E-011
11, 1800.00000, 125.395, 125.308, 125.089, 0, 21.7881, 21.7729, 37.6986, 1.91585E-010
11, 2700.00000, 125.483, 125.383, 125.196, 0, 21.2083, 21.1912, 36.6958, 2.74352E-010
12, 0.00000, 125.542, 125.525, 125.193, 0, 22.5813, 22.5784, 39.074, 3.61574E-011
12, 900.00000, 125.202, 125.131, 124.864, 0, 23.57, 23.5565, 40.7798, 4.68837E-011
12, 1800.00000, 125.186, 125.19, 124.82, 0, 25.1867, 25.1875, 43.5823, 3.89871E-011
12, 2700.00000, 125.242, 125.201, 124.911, 0, 23.8996, 23.8917, 41.3542, 1.47549E-010
13, 0.00000, 125.436, 125.334, 125.146, 0, 21.3083, 21.2909, 36.8684, 8.21282E-011
13, 900.00000, 125.271, 125.207, 124.944, 0, 23.0484, 23.0365, 39.8793, 5.33844E-011
13, 1800.00000, 125.104, 125.086, 124.717, 0, 24.8797, 24.8761, 43.0463, 4.08368E-011
13, 2700.00000, 124.609, 124.585, 124.194, 0, 27.2564, 27.2512, 47.154, 5.62491E-012
14, 0.00000, 124.829, 124.768, 124.449, 0, 25.0543, 25.0418, 43.3439, 2.11481E-010
14, 900.00000, 125.03, 124.913, 124.709, 0, 22.8041, 22.7827, 39.4516, 3.99848E-011
14, 1800.00000, 125.083, 125.018, 124.722, 0, 23.6268, 23.6145, 40.8763, 6.98096E-011
14, 2700.00000, 125.062, 124.991, 124.695, 0, 23.9113, 23.8976, 41.3671, 3.23766E-011
15, 0.00000, 125.033, 124.98, 124.654, 0, 24.2013, 24.1909, 41.8694, 1.56029E-011
15, 900.00000, 125.264, 125.137, 124.944, 0, 21.624, 21.602, 37.4092, 6.12615E-011
