hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
13, 2700.00000, 2414.11, 2250.52, 2175.18, 1981.46, 2527.66, 1909.07, 0, 0
14, 0.00000, 2352.86, 2186.93, 2120.73, 1923.18, 2465.21, 1854.02, 0, 0
14, 900.00000, 2300.74, 2142.52, 2073.34, 1865.28, 2427.14, 1806.96, 0, 0
14, 1800.00000, 2266.42, 2091.03, 2044.84, 1840.51, 2372.59, 1773.87, 0, 0
14, 2700.00000, 2260.16, 2099.77, 2033.71, 1844.1, 2368.34, 1775.82, 0, 0
15, 0.00000, 2273.55, 2101.5, 2049.22, 1854.58, 2375.22, 1783.77, 0, 0
15, 900.00000, 2209.89, 2053.14, 1986.81, 1789.72, 2326.48, 1728.23, 0, 0
15, 1800.00000, 2281.99, 2093.99, 2057.48, 1838.25, 2391.21, 1771.69, 0, 0
15, 2700.00000, 2291.77, 2087.7, 2071.15, 1858.64, 2379.83, 1782.11, 0, 0
16, 0.00000, 2318.78, 2129.19, 2089.03, 1881.64, 2418.29, 1806.44, 0, 0
16, 900.00000, 2293.17, 2119.83, 2059.11, 1855.79, 2404.8, 1785.11, 0, 0
16, 1800.00000, 2269.91, 2098.61, 2040.11, 1833.14, 2384.91, 1766.86, 0, 0
16, 2700.00000, 2367.54, 2070.16, 2145.09, 1801.55, 2488.94, 1743.21, 0, 0
17, 0.00000, 2412.66, 2095.8, 2189.57, 1860.49, 2504.9, 1784.94, 0, 0
17, 900.00000, 2441, 2129.87, 2218.22, 1891.71, 2535.86, 1817.85, 0, 0
17, 1800.00000, 2642.82, 2157.8, 2408.8, 1894.1, 2754.18, 1823.28, 0, 0
17, 2700.00000, 2625.77, 2135.78, 2395.18, 1881.58, 2730.62, 1808.99, 0, 0
18, 0.00000, 2631.61, 2170.85, 2397.98, 1890.25, 2757.81, 1828.22, 0, 0
18, 900.00000, 2808.25, 2368.13, 2559.26, 2072.26, 2939.99, 2004.57, 0, 0
18, 1800.00000, 2846.56, 2370.29, 2597.4, 2132.26, 2928.12, 2035.5, 0, 0
18, 2700.00000, 3105.3, 2422.48, 2858.01, 2183.68, 3188.47, 2088.92, 0, 0
19, 0.00000, 3107.41, 2439.88, 2857.91, 2177.17, 3210.17, 2092.44, 0, 0
19, 900.00000, 3047.2, 2372.41, 2802.05, 2119.4, 3143.74, 2033.6, 0, 0
19, 1800.00000, 3162.25, 2420.7, 2909.4, 2180.97, 3243.44, 2081.87, 0, 0
19, 2700.00000, 3202.99, 2471.43, 2944.63, 2227.83, 3284.77, 2125.88, 0, 0
20, 0.00000, 3163.57, 2466.82, 2901.56, 2186.67, 3275.18, 2099.84, 0, 0
20, 900.00000, 3163.56, 2430.61, 2908.43, 2190.58, 3243.87, 2089.64, 0, 0
20, 1800.00000, 3132.12, 2433.57, 2867.88, 2158.92, 3237.86, 2067.4, 0, 0
20, 2700.00000, 3129.63, 2419.37, 2860.68, 2164.65, 3215.75, 2059.09, 0, 0
21, 0.00000, 3214.5, 2507.46, 2945.71, 2257.67, 3296.43, 2149.79, 0, 0
21, 900.00000, 3101.45, 2409.1, 2831.23, 2119.29, 3217.32, 2030.18, 0, 0
21, 1800.00000, 3188.15, 2347.58, 2930.39, 2086.97, 3284.96, 1994.05, 0, 0
21, 2700.00000, 3134.85, 2291.69, 2876.79, 2035.86, 3227.37, 1940.29, 0, 0
22, 0.00000, 3071.75, 2216.91, 2823.23, 1974.67, 3157.27, 1880.56, 0, 0
22, 900.00000, 3125.19, 2286.17, 2867.85, 2030.24, 3218.16, 1935.34, 0, 0
22, 1800.00000, 3134.83, 2308.81, 2872.48, 2037, 3239.05, 1945.7, 0, 0
22, 2700.00000, 3197.79, 2271, 2938.67, 2007.6, 3296.34, 1914.89, 0, 0
23, 0.00000, 3177.35, 2249.13, 2919.86, 1986.88, 3275.72, 1895.01, 0, 0
23, 900.00000, 3137.54, 2193.12, 2881.85, 1961.8, 3210.03, 1856.03, 0, 0
23, 1800.00000, 3110.82, 2213.58, 2855.47, 1979.25, 3186.08, 1875.28, 0, 0
23, 2700.00000, 3059.9, 2161.1, 2805.69, 1929.48, 3133.39, 1825.14, 0, 0
24, 0.00000, 3051.52, 2169.77, 2796.15, 1913.6, 3145.68, 1820.53, 0, 0
24, 900.00000, 3021.23, 2111.02, 2781.51, 1895.37, 3088.12, 1795.59, 0, 0
24, 1800.00000, 2922.71, 2027.74, 2686.12, 1797.38, 3003.91, 1707.67, 0, 0
24, 2700.00000, 2822.51, 1937.22, 2601.38, 1727.97, 2893.16, 1641.09, 0, 0
25, 0.00000, 2893.41, 2011.22, 2657.68, 1801.02, 2957.58, 1701.98, 0, 0
25, 900.00000, 2849.2, 1965.08, 2618.66, 1760.49, 2911.11, 1663.14, 0, 0
25, 1800.00000, 2820.64, 1929.66, 2597, 1734.38, 2877.94, 1638.34, 0, 0
25, 2700.00000, 2835.8, 1945.55, 2607.87, 1754.02, 2887.7, 1652.39, 0, 0
26, 0.00000, 2864.41, 1998.64, 2623.68, 1774.48, 2938.17, 1678.08, 0, 0
26, 900.00000, 2804.73, 1920.59, 2578.15, 1722.98, 2862.57, 1625.56, 0, 0
26, 1800.00000, 2816.39, 1945.12, 2583.23, 1730.97, 2885.27, 1636.12, 0, 0
26, 2700.00000, 2737.4, 1881.2, 2515.09, 1678.54, 2801.75, 1587.34, 0, 0
27, 0.00000, 2646.89, 1775.11, 2441.18, 1600.13, 2695.57, 1509.47, 0, 0
27, 900.00000, 2662.82, 1816, 2446.89, 1600.78, 2741.24, 1521.39, 0, 0
27, 1800.00000, 2548.15, 1741.82, 2344.44, 1551.99, 2610.69, 1470.49, 0, 0
27, 2700.00000, 2673.92, 1884.86, 2446.6, 1659.25, 2755.64, 1575.19, 0, 0
28, 0.00000, 2646.57, 1858.34, 2422.8, 1631.54, 2731.1, 1551.15, 0, 0
28, 900.00000, 2615.63, 1812.4, 2401.45, 1607.05, 2686.38, 1524.24, 0, 0
28, 1800.00000, 2710.21, 1913.5, 2481.69, 1691.25, 2788.43, 1604.48, 0, 0
28, 2700.00000, 2617.85, 1828.45, 2401.12, 1610.5, 2698.24, 1531.78, 0, 0
29, 0.00000, 2654.21, 1859.43, 2433.32, 1648, 2726.86, 1562.42, 0, 0
29, 900.00000, 2624.32, 1834.64, 2405.31, 1620.41, 2700.34, 1537.85, 0, 0
