hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 125.867, 125.209, 125.956, 0, 10.1265, 10.0738, 17.5134, 3.63798E-012
0, 1800.00000, 126.074, 125.412, 126.177, 0, 10.1063, 10.0534, 17.4789, 2.24675E-011
0, 2700.00000, 126.247, 125.63, 126.344, 0, 9.68644, 9.63926, 16.7545, 3.44439E-011
1, 0.00000, 126.081, 125.446, 126.155, 0, 10.7576, 10.7036, 18.6052, 9.36382E-012
1, 900.00000, 126.188, 125.561, 126.261, 0, 10.045, 9.9952, 17.373, 1.35206E-011
1, 1800.00000, 126.244, 125.644, 126.311, 0, 10.601, 10.5509, 18.3359, 1.23705E-011
1, 2700.00000, 126.211, 125.606, 126.267, 0, 10.6594, 10.6085, 18.4359, 7.82377E-012
2, 0.00000, 126.142, 125.48, 126.225, 0, 10.3498, 10.2958, 17.8993, 1.81899E-012
2, 900.00000, 126.279, 125.669, 126.343, 0, 10.4025, 10.3525, 17.9918, 1.91912E-011
2, 1800.00000, 126.256, 125.613, 126.335, 0, 9.79774, 9.74802, 16.945, 3.62203E-011
2, 2700.00000, 126.368, 125.761, 126.441, 0, 10.2355, 10.1866, 17.7036, 3.47279E-011
3, 0.00000, 126.574, 126.025, 126.63, 0, 10.0326, 9.98926, 17.3546, 7.87816E-011
3, 900.00000, 126.536, 125.926, 126.632, 0, 9.46126, 9.41585, 16.3653, 3.18356E-011
3, 1800.00000, 126.646, 126.093, 126.718, 0, 10.3417, 10.2967, 17.8897, 5.88665E-011
3, 2700.00000, 126.377, 125.742, 126.473, 0, 10.1668, 10.1159, 17.5846, 7.4923E-011
4, 0.00000, 126.423, 125.804, 126.521, 0, 10.96, 10.9065, 18.9574, 2.38038E-011
4, 900.00000, 126.5, 125.918, 126.584, 0, 10.8955, 10.8456, 18.847, 3.09763E-011
4, 1800.00000, 126.292, 125.667, 126.382, 0, 11.1212, 11.0664, 19.2355, 4.02059E-011
4, 2700.00000, 126.46, 125.87, 126.552, 0, 11.6827, 11.6284, 20.2086, 8.66708E-011
5, 0.00000, 126.394, 125.796, 126.474, 0, 11.1693, 11.1166, 19.3195, 2.02809E-011
5, 900.00000, 126.455, 125.858, 126.54, 0, 11.1233, 11.0709, 19.2402, 2.57244E-011
5, 1800.00000, 126.308, 125.665, 126.408, 0, 11.0884, 11.0322, 19.1783, 3.31217E-011
5, 2700.00000, 126.36, 125.735, 126.461, 0, 11.0996, 11.0449, 19.1987, 3.38352E-011
6, 0.00000, 126.563, 125.954, 126.678, 0, 11.2193, 11.1656, 19.4073, 1.72564E-011
6, 900.00000, 126.399, 125.748, 126.528, 0, 10.4561, 10.4026, 18.0858, 6.82788E-011
6, 1800.00000, 126.347, 125.77, 126.418, 0, 12.0571, 12.0022, 20.8557, 3.60715E-011
6, 2700.00000, 126.552, 126.014, 126.633, 0, 12.6022, 12.5489, 21.8016, 2.23706E-011
7, 0.00000, 126.379, 125.814, 126.484, 0, 12.7536, 12.6968, 22.0632, 2.80915E-011
7, 900.00000, 126.26, 125.699, 126.377, 0, 14.5795, 14.515, 25.2231, 1.1576E-011
7, 1800.00000, 126.493, 125.986, 126.58, 0, 14.7126, 14.6539, 25.455, 2.09825E-011
7, 2700.00000, 126.442, 125.941, 126.543, 0, 16.1421, 16.0784, 27.9297, 1.5137E-011
8, 0.00000, 126.232, 125.742, 126.317, 0, 16.501, 16.4371, 28.5502, 1.01559E-010
8, 900.00000, 126.418, 125.966, 126.497, 0, 17.6703, 17.6073, 30.5759, 3.48142E-011
8, 1800.00000, 126.305, 125.882, 126.38, 0, 20.4502, 20.382, 35.3885, 1.87497E-012
8, 2700.00000, 126.071, 125.598, 126.164, 0, 20.3357, 20.2597, 35.1872, 1.25118E-011
9, 0.00000, 125.776, 125.284, 125.832, 0, 21.4871, 21.4032, 37.1739, 6.10108E-012
9, 900.00000, 125.87, 125.405, 125.932, 0, 22.1701, 22.0885, 38.359, 1.04987E-011
9, 1800.00000, 125.813, 125.392, 125.895, 0, 25.0348, 24.9512, 43.3227, 2.37385E-011
9, 2700.00000, 126.066, 125.669, 126.114, 0, 23.2402, 23.1673, 40.2163, 9.10631E-012
10, 0.00000, 126.051, 125.634, 126.12, 0, 22.2774, 22.2039, 38.5502, 2.80067E-011
10, 900.00000, 125.857, 125.425, 125.925, 0, 23.2459, 23.1664, 40.2246, 2.12129E-011
10, 1800.00000, 125.914, 125.478, 125.989, 0, 23.2537, 23.1734, 40.2382, 2.12129E-011
10, 2700.00000, 125.764, 125.281, 125.865, 0, 23.5991, 23.5089, 40.8338, 2.4611E-011
11, 0.00000, 125.815, 125.358, 125.908, 0, 23.0937, 23.0101, 39.9611, 4.06738E-012
11, 900.00000, 125.886, 125.505, 125.929, 0, 23.0978, 23.0282, 39.971, 6.55846E-012
11, 1800.00000, 125.8, 125.296, 125.914, 0, 20.1475, 20.067, 34.8606, 4.2826E-011
