hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 125.816, 124.734, 126.088, 0, 23.335, 23.244, 4.06804, 0.0373873
0, 1800.00000, 126.027, 124.959, 126.306, 0, 22.3786, 22.2877, 4.23515, 0.0384881
0, 2700.00000, 126.205, 125.187, 126.474, 0, 21.7506, 21.6727, 3.66415, 0.0316983
1, 0.00000, 126.045, 124.981, 126.303, 0, 22.9659, 22.882, 3.83698, 0.03438
1, 900.00000, 126.144, 125.108, 126.392, 0, 22.2915, 22.2062, 4.01707, 0.034893
1, 1800.00000, 126.199, 125.178, 126.447, 0, 23.0142, 22.9235, 4.35774, 0.0373541
1, 2700.00000, 126.161, 125.126, 126.402, 0, 23.682, 23.588, 4.4792, 0.0387345
2, 0.00000, 126.097, 125.011, 126.363, 0, 23.0594, 22.9726, 4.00064, 0.0365803
2, 900.00000, 126.232, 125.193, 126.481, 0, 23.3961, 23.3104, 4.04522, 0.0352052
2, 1800.00000, 126.201, 125.141, 126.458, 0, 23.0955, 23.0073, 4.15895, 0.0369815
2, 2700.00000, 126.33, 125.316, 126.579, 0, 21.9841, 21.9041, 3.84588, 0.032708
3, 0.00000, 126.534, 125.595, 126.759, 0, 21.3154, 21.2339, 4.16709, 0.0325881
3, 900.00000, 126.499, 125.526, 126.752, 0, 19.9479, 19.8692, 3.99327, 0.0327846
3, 1800.00000, 126.626, 125.705, 126.856, 0, 19.5256, 19.4508, 3.90324, 0.03009
3, 2700.00000, 126.34, 125.313, 126.605, 0, 21.3186, 21.2348, 4.09394, 0.0355376
4, 0.00000, 126.407, 125.404, 126.669, 0, 20.2213, 20.1396, 4.08565, 0.0346559
4, 900.00000, 126.477, 125.506, 126.728, 0, 20.7637, 20.6802, 4.25146, 0.0347978
4, 1800.00000, 126.256, 125.209, 126.528, 0, 22.7774, 22.6867, 4.37215, 0.0387662
4, 2700.00000, 126.444, 125.452, 126.709, 0, 21.1836, 21.0964, 4.42207, 0.0371548
5, 0.00000, 126.375, 125.378, 126.625, 0, 21.027, 20.9441, 4.10556, 0.0344373
5, 900.00000, 126.437, 125.446, 126.69, 0, 20.7722, 20.6894, 4.15812, 0.0346896
5, 1800.00000, 126.281, 125.223, 126.56, 0, 22.0403, 21.9559, 4.02865, 0.0361684
5, 2700.00000, 126.337, 125.319, 126.606, 0, 20.9686, 20.8796, 4.44343, 0.038334
6, 0.00000, 126.561, 125.581, 126.834, 0, 19.0775, 19.0008, 3.94231, 0.0328726
6, 900.00000, 126.374, 125.348, 126.664, 0, 20.1771, 20.0927, 4.21211, 0.0369976
6, 1800.00000, 126.338, 125.336, 126.59, 0, 21.873, 21.7923, 3.90992, 0.0329999
6, 2700.00000, 126.554, 125.622, 126.803, 0, 20.2547, 20.1665, 4.7098, 0.037114
7, 0.00000, 126.393, 125.432, 126.667, 0, 19.7747, 19.6932, 4.13341, 0.0340361
7, 900.00000, 126.277, 125.259, 126.59, 0, 22.7163, 22.6241, 4.50378, 0.039897
7, 1800.00000, 126.519, 125.587, 126.787, 0, 21.0497, 20.9559, 5.01665, 0.040027
7, 2700.00000, 126.468, 125.544, 126.748, 0, 21.5448, 21.4284, 6.77826, 0.0540993
8, 0.00000, 126.265, 125.326, 126.54, 0, 22.307, 22.1934, 6.14653, 0.0497791
8, 900.00000, 126.474, 125.585, 126.736, 0, 21.0655, 20.9539, 6.51342, 0.04979
8, 1800.00000, 126.388, 125.5, 126.657, 0, 21.884, 21.7591, 7.55177, 0.0580304
8, 2700.00000, 126.145, 125.197, 126.436, 0, 22.7211, 22.5875, 7.67915, 0.063431
9, 0.00000, 125.834, 124.79, 126.123, 0, 26.9396, 26.7853, 7.96566, 0.0715795
9, 900.00000, 125.94, 124.944, 126.225, 0, 25.7897, 25.6341, 8.60348, 0.0740149
9, 1800.00000, 125.927, 124.947, 126.242, 0, 25.6964, 25.5392, 8.81522, 0.0761323
9, 2700.00000, 126.137, 125.185, 126.42, 0, 27.0382, 26.8793, 9.1035, 0.0750568
10, 0.00000, 126.139, 125.213, 126.421, 0, 24.0201, 23.8778, 8.28906, 0.0667468
10, 900.00000, 125.92, 124.922, 126.227, 0, 27.953, 27.7835, 9.36823, 0.081793
10, 1800.00000, 125.993, 125.03, 126.289, 0, 25.6296, 25.4681, 9.49325, 0.0798052
10, 2700.00000, 125.856, 124.844, 126.179, 0, 25.1301, 24.9698, 9.06966, 0.0808408
11, 0.00000, 125.893, 124.912, 126.205, 0, 25.4901, 25.327, 9.45966, 0.0816497
11, 900.00000, 125.953, 125.048, 126.216, 0, 26.1389, 25.9727, 10.041, 0.0786667
11, 1800.00000, 125.8, 124.757, 126.142, 0, 29.0405, 28.8568, 10.0741, 0.0931534
11, 2700.00000, 125.889, 124.886, 126.219, 0, 26.3566, 26.1871, 9.77366, 0.0868228
12, 0.00000, 126.022, 125.066, 126.312, 0, 26.0492, 25.8917, 8.99658, 0.0749238
12, 900.00000, 125.697, 124.638, 126.035, 0, 27.3799, 27.2067, 9.26326, 0.0866729
12, 1800.00000, 125.748, 124.738, 126.069, 0, 26.7194, 26.549, 9.43305, 0.0840794
12, 2700.00000, 125.708, 124.691, 126.042, 0, 28.8845, 28.6837, 12.1366, 0.109602
13, 0.00000, 125.821, 124.814, 126.152, 0, 27.6452, 27.4584, 11.213, 0.100054
13, 900.00000, 125.703, 124.671, 126.036, 0, 29.4385, 29.2362, 11.9127, 0.108771
13, 1800.00000, 125.599, 124.539, 125.92, 0, 31.2186, 31.0081, 11.6915, 0.108675
13, 2700.00000, 125.165, 124.027, 125.516, 0, 32.7391, 32.5014, 12.6431, 0.127557
14, 0.00000, 125.308, 124.185, 125.658, 0, 32.5477, 32.3178, 12.2951, 0.122216
14, 900.00000, 125.443, 124.346, 125.802, 0, 30.2731, 30.062, 11.5692, 0.113177
14, 1800.00000, 125.532, 124.483, 125.853, 0, 29.9459, 29.7362, 12.0475, 0.11116
14, 2700.00000, 125.531, 124.458, 125.855, 0, 29.9039, 29.6987, 11.3784, 0.107106
15, 0.00000, 125.488, 124.375, 125.826, 0, 33.182, 32.9621, 11.515, 0.112653
15, 900.00000, 125.641, 124.573, 125.973, 0, 29.9284, 29.7242, 11.5464, 0.108543
15, 1800.00000, 125.536, 124.465, 125.863, 0, 30.3017, 30.0936, 11.5716, 0.108942
15, 2700.00000, 125.519, 124.457, 125.829, 0, 31.3182, 31.1077, 11.4543, 0.106165
16, 0.00000, 125.439, 124.341, 125.764, 0, 32.1146, 31.8927, 12.0333, 0.115781
