hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 123.33, 122.591, 123.413, 0, 242.364, 242.566, 242.208, 0.916881
0, 1800.00000, 123.564, 122.848, 123.651, 0, 238.481, 238.683, 240.526, 0.8773
0, 2700.00000, 123.84, 123.169, 123.925, 0, 228.823, 229.025, 230.48, 0.795074
1, 0.00000, 123.578, 122.866, 123.646, 0, 239.406, 239.602, 240.221, 0.866175
1, 900.00000, 123.72, 123.036, 123.781, 0, 234.603, 234.802, 236.376, 0.806556
1, 1800.00000, 123.711, 123.104, 123.747, 0, 238.398, 238.712, 244.573, 0.715299
1, 2700.00000, 123.638, 123.015, 123.665, 0, 242.481, 242.797, 247.881, 0.73776
2, 0.00000, 123.632, 122.919, 123.701, 0, 238.356, 238.544, 240.697, 0.856761
2, 900.00000, 123.767, 123.132, 123.807, 0, 237.187, 237.455, 241.745, 0.744273
2, 1800.00000, 123.763, 123.09, 123.818, 0, 235.236, 235.451, 238.926, 0.782119
2, 2700.00000, 123.955, 123.318, 124.008, 0, 228.413, 228.62, 232.38, 0.723245
3, 0.00000, 124.136, 123.559, 124.172, 0, 229.966, 230.252, 234.234, 0.658047
3, 900.00000, 124.173, 123.518, 124.256, 0, 223.909, 224.071, 226.122, 0.754512
3, 1800.00000, 124.284, 123.696, 124.341, 0, 223.779, 223.984, 227.598, 0.669828
3, 2700.00000, 123.949, 123.28, 124.026, 0, 229.888, 230.075, 233.526, 0.78137
4, 0.00000, 123.962, 123.295, 124.047, 0, 234.094, 234.276, 237.397, 0.816996
4, 900.00000, 124.002, 123.385, 124.067, 0, 236.588, 236.849, 240.925, 0.754243
4, 1800.00000, 123.683, 123.045, 123.743, 0, 245.792, 246.077, 251.944, 0.80078
4, 2700.00000, 123.869, 123.287, 123.925, 0, 243.593, 243.899, 251.881, 0.733478
5, 0.00000, 123.852, 123.224, 123.91, 0, 240.525, 240.742, 245.491, 0.777394
5, 900.00000, 123.916, 123.3, 123.976, 0, 239.664, 239.893, 245.354, 0.763781
5, 1800.00000, 123.719, 123.064, 123.789, 0, 244.069, 244.295, 250.241, 0.833248
5, 2700.00000, 123.785, 123.163, 123.851, 0, 242.028, 242.273, 249.446, 0.779964
6, 0.00000, 124.114, 123.493, 124.203, 0, 231.565, 231.741, 237.829, 0.769726
6, 900.00000, 123.884, 123.23, 123.981, 0, 236.609, 236.801, 242.826, 0.827522
6, 1800.00000, 123.684, 123.063, 123.739, 0, 252.754, 253.026, 257.324, 0.83178
6, 2700.00000, 123.786, 123.243, 123.836, 0, 260.03, 260.398, 268.407, 0.753812
7, 0.00000, 123.672, 123.085, 123.752, 0, 256.176, 256.447, 263.122, 0.830818
