hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
14, 1800.00000, 1170.58, 843.799, 1228.03, 796.181, 1240.54, 869.742, 0, 0
14, 2700.00000, 1198.2, 846.452, 1256.29, 800.25, 1267.26, 873.659, 0, 0
15, 0.00000, 1205.26, 849.871, 1264.53, 804.195, 1274.45, 878.362, 0, 0
15, 900.00000, 1172.52, 830.558, 1230.5, 789.288, 1237.25, 860.139, 0, 0
15, 1800.00000, 1209.1, 842.251, 1266.64, 793.715, 1279.9, 867.808, 0, 0
15, 2700.00000, 1208.66, 844.48, 1264.5, 792.73, 1281.4, 866.959, 0, 0
16, 0.00000, 1225, 854.623, 1282.42, 800.87, 1300.26, 877.472, 0, 0
16, 900.00000, 1214.81, 849.957, 1272.53, 798.627, 1288.12, 874.274, 0, 0
16, 1800.00000, 1201.34, 842.723, 1258.52, 795.046, 1271.22, 868.403, 0, 0
16, 2700.00000, 1177.15, 842.892, 1220.33, 762.249, 1268.58, 839.967, 0, 0
17, 0.00000, 1191.96, 850.667, 1237.28, 771.004, 1283.61, 850.091, 0, 0
17, 900.00000, 1204.63, 867.318, 1246.63, 778.494, 1302.55, 859.283, 0, 0
17, 1800.00000, 1158.72, 892.974, 1187.74, 755.231, 1292.52, 849.235, 0, 0
17, 2700.00000, 1137.82, 879.543, 1167.27, 742.396, 1271.32, 836.478, 0, 0
18, 0.00000, 1131.86, 882.647, 1160.8, 737.177, 1272.31, 834.979, 0, 0
18, 900.00000, 1225.64, 953.931, 1257.09, 784.217, 1388.34, 896.306, 0, 0
18, 1800.00000, 1240.51, 962.577, 1273.62, 797.536, 1400, 908.733, 0, 0
18, 2700.00000, 1178.47, 1024.78, 1200.54, 798.855, 1385.16, 930.929, 0, 0
19, 0.00000, 1178.81, 1021.07, 1202.62, 796.174, 1385.48, 929.245, 0, 0
19, 900.00000, 1133.24, 986.739, 1157.5, 767.076, 1335.6, 897.921, 0, 0
19, 1800.00000, 1148, 1029.06, 1171.41, 785.924, 1370.27, 927.763, 0, 0
19, 2700.00000, 1170.34, 1044.85, 1194.67, 797.766, 1396.49, 942.373, 0, 0
20, 0.00000, 1149.84, 1031.45, 1173.64, 787.913, 1372.65, 930.289, 0, 0
20, 900.00000, 1139.88, 1019.18, 1165.28, 782.629, 1357.44, 922.898, 0, 0
20, 1800.00000, 1127.39, 1013.02, 1153.58, 776.595, 1345.24, 917.486, 0, 0
20, 2700.00000, 1157.45, 1008.13, 1185.41, 775.226, 1373.14, 915.889, 0, 0
21, 0.00000, 1202.07, 1042.49, 1231.89, 799.281, 1427.6, 946.712, 0, 0
21, 900.00000, 1147.04, 996.952, 1172.88, 763.733, 1361.94, 902.72, 0, 0
21, 1800.00000, 1199.16, 975.959, 1225.77, 755.797, 1403.13, 888.928, 0, 0
21, 2700.00000, 1155.22, 945.712, 1182.17, 727.17, 1357.95, 859.779, 0, 0
22, 0.00000, 1111.75, 911.596, 1136.38, 700.921, 1306.52, 827.587, 0, 0
22, 900.00000, 1142.92, 935.653, 1168.83, 718.684, 1343.78, 849.608, 0, 0
22, 1800.00000, 1149.83, 939.326, 1175.77, 721.964, 1351.04, 853.107, 0, 0
22, 2700.00000, 1191.47, 922.465, 1215.41, 705.148, 1391.64, 834.535, 0, 0
23, 0.00000, 1177.43, 909.784, 1203.11, 698.372, 1373.36, 826.317, 0, 0
23, 900.00000, 1150.33, 892.312, 1174.71, 685.356, 1341.75, 809.944, 0, 0
23, 1800.00000, 1220.04, 901.782, 1246.15, 697.038, 1410.41, 822.015, 0, 0
23, 2700.00000, 1187.26, 880.399, 1212.44, 678.043, 1375.1, 801.024, 0, 0
24, 0.00000, 1182.07, 876.872, 1208.17, 673.905, 1370.89, 797.984, 0, 0
24, 900.00000, 1155.57, 861.405, 1182.05, 659.174, 1343.95, 783.223, 0, 0
24, 1800.00000, 1098.92, 821.329, 1124.29, 627.303, 1279.64, 746.281, 0, 0
24, 2700.00000, 1162.53, 795.668, 1185.27, 604.776, 1339.22, 719.914, 0, 0
25, 0.00000, 1204.88, 823.032, 1229.65, 630.835, 1383.71, 748.383, 0, 0
25, 900.00000, 1178.81, 803.479, 1203.44, 617.025, 1352.59, 731.582, 0, 0
25, 1800.00000, 1160.28, 791.5, 1183.34, 605.397, 1332.98, 718.424, 0, 0
25, 2700.00000, 1165.37, 794.991, 1189.77, 610.016, 1337.76, 723.629, 0, 0
26, 0.00000, 1184.89, 812.94, 1209.17, 620.371, 1363.8, 737.678, 0, 0
26, 900.00000, 1148.07, 784.828, 1171.33, 600.092, 1319.68, 712.606, 0, 0
26, 1800.00000, 1154.3, 788.371, 1178.84, 604.379, 1325.91, 717.632, 0, 0
26, 2700.00000, 1216.61, 771.094, 1239.08, 591.416, 1383.45, 700.715, 0, 0
27, 0.00000, 1166.99, 738.498, 1188.33, 563.849, 1328.91, 669.654, 0, 0
