hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 123.023, 123.585, 124.123, 0, 529.51, 471.05, 456.501, 67.9153
0, 1800.00000, 123.666, 124.235, 124.756, 0, 480.652, 421.802, 407.49, 68.0084
0, 2700.00000, 123.746, 124.287, 124.751, 0, 476.99, 420.481, 410.626, 62.7889
1, 0.00000, 123.75, 124.345, 124.81, 0, 471.336, 410.211, 400.49, 67.2739
1, 900.00000, 124.003, 124.554, 125.024, 0, 452.558, 395.678, 384.567, 63.9028
1, 1800.00000, 123.985, 124.553, 124.987, 0, 456.582, 397.95, 389.997, 63.6689
1, 2700.00000, 124.131, 124.637, 124.9, 0, 442.88, 390.018, 396.713, 50.2868
2, 0.00000, 124.056, 124.658, 124.963, 0, 446.732, 384.866, 389.259, 60.2774
2, 900.00000, 124.191, 124.754, 125.062, 0, 439.834, 381.728, 384.5, 57.2601
2, 1800.00000, 124.242, 124.803, 125.118, 0, 434.439, 376.814, 378.81, 57.1533
2, 2700.00000, 124.359, 124.905, 125.265, 0, 426.124, 369.702, 367.2, 58.2506
3, 0.00000, 124.687, 125.146, 125.444, 0, 403.462, 354.766, 356.857, 48.1141
3, 900.00000, 124.664, 125.144, 125.603, 0, 404.221, 353.868, 341.967, 57.8713
3, 1800.00000, 124.968, 125.406, 125.723, 0, 382.041, 335.601, 335.025, 47.1633
3, 2700.00000, 124.486, 125.018, 125.401, 0, 415.625, 360.463, 356.183, 57.9821
4, 0.00000, 124.561, 125.084, 125.518, 0, 411.18, 356.532, 347.898, 60.0443
4, 900.00000, 124.617, 125.083, 125.446, 0, 408.149, 358.405, 356.05, 51.4855
4, 1800.00000, 124.318, 124.845, 125.113, 0, 427.671, 372.435, 379.328, 52.5364
4, 2700.00000, 124.558, 125.107, 125.48, 0, 411.785, 354.443, 351.357, 59.4667
5, 0.00000, 124.553, 125.071, 125.459, 0, 409.824, 355.803, 350.715, 57.2867
5, 900.00000, 124.736, 125.237, 125.498, 0, 395.973, 343.298, 349.24, 50.3263
5, 1800.00000, 124.372, 125.006, 125.408, 0, 423.908, 358.76, 354.268, 68.0724
5, 2700.00000, 124.422, 125.001, 125.477, 0, 421.388, 361.384, 349.552, 67.3656
6, 0.00000, 124.765, 125.34, 125.843, 0, 398.337, 338.818, 323.439, 69.1429
6, 900.00000, 124.403, 124.995, 125.533, 0, 423.839, 362.675, 345.549, 72.0048
6, 1800.00000, 124.282, 124.819, 125.273, 0, 432.926, 376.385, 366.943, 62.4622
6, 2700.00000, 124.91, 125.36, 125.768, 0, 380.643, 334.09, 324.599, 52.1481
7, 0.00000, 124.291, 124.778, 125.323, 0, 429.945, 379.62, 359.556, 63.2995
7, 900.00000, 124.045, 124.574, 125.092, 0, 447.607, 393.262, 376.388, 64.9164
7, 1800.00000, 125.028, 125.471, 125.76, 0, 364.264, 320.132, 318.544, 44.4909
7, 2700.00000, 125.091, 125.568, 125.919, 0, 355.734, 308.408, 301.444, 50.8587
8, 0.00000, 124.683, 125.179, 125.508, 0, 383.773, 334.615, 329.953, 51.3059
8, 900.00000, 125.314, 125.809, 126.218, 0, 332.813, 284.111, 270.825, 56.3385
8, 1800.00000, 125.3, 125.759, 126.118, 0, 330.271, 284.607, 276.337, 50.0086
8, 2700.00000, 125.023, 125.569, 125.919, 0, 347.422, 295.567, 287.452, 55.7195
9, 0.00000, 124.797, 125.454, 125.635, 0, 357.826, 295.786, 303.811, 57.215
9, 900.00000, 125.068, 125.67, 125.812, 0, 336.084, 279.087, 289.605, 51.1593
9, 1800.00000, 124.662, 125.319, 125.55, 0, 364.127, 305.862, 304.911, 57.0358
9, 2700.00000, 125.442, 126.031, 126.134, 0, 301.713, 250.386, 258.334, 45.5384
10, 0.00000, 125.167, 125.818, 126.155, 0, 324.73, 267.748, 255.256, 62.9223
10, 900.00000, 124.941, 125.6, 125.751, 0, 338.846, 280.443, 286.003, 53.7376
10, 1800.00000, 125.132, 125.849, 126.146, 0, 323.751, 260.148, 252.351, 66.3583
10, 2700.00000, 125.128, 125.917, 126.194, 0, 308.361, 245.374, 232.804, 67.9182
11, 0.00000, 125.072, 125.827, 126.081, 0, 314.269, 254.482, 243.436, 63.7348
11, 900.00000, 125.127, 125.839, 125.934, 0, 311.066, 255.023, 257.327, 51.713
11, 1800.00000, 124.964, 125.733, 125.841, 0, 317.79, 258.677, 259.322, 55.4049
11, 2700.00000, 125.016, 125.796, 126.116, 0, 315.671, 255.498, 237.424, 68.9036
12, 0.00000, 125.284, 126.028, 126.082, 0, 296.362, 239.584, 243.901, 51.0207
12, 900.00000, 124.833, 125.599, 125.734, 0, 327.721, 267.972, 267.749, 56.5562
12, 1800.00000, 124.662, 125.436, 125.577, 0, 343.807, 283.786, 282.488, 57.4761
12, 2700.00000, 124.77, 125.54, 125.801, 0, 332.038, 273.483, 260.918, 63.2009
13, 0.00000, 124.929, 125.722, 125.869, 0, 320.59, 260.47, 256.673, 58.8531
13, 900.00000, 124.793, 125.569, 125.707, 0, 329.987, 271.185, 268.789, 56.6906
13, 1800.00000, 124.736, 125.565, 125.657, 0, 334.017, 270.515, 272.273, 58.9729
13, 2700.00000, 124.018, 124.899, 125.057, 0, 384.043, 315.045, 313.844, 66.2473
14, 0.00000, 124.189, 125.111, 125.148, 0, 372.841, 300.534, 309.126, 64.3488
14, 900.00000, 124.237, 125.188, 125.381, 0, 372.274, 297.485, 292.08, 74.5144
14, 1800.00000, 124.621, 125.51, 125.703, 0, 341.231, 272.117, 265.863, 69.3683
14, 2700.00000, 124.606, 125.573, 125.863, 0, 341.091, 265.318, 250.453, 81.6023
15, 0.00000, 124.548, 125.47, 125.593, 0, 345.267, 273.621, 273.166, 68.3518
15, 900.00000, 124.874, 125.836, 126.074, 0, 320.493, 245.529, 234.359, 78.3064
15, 1800.00000, 124.634, 125.549, 125.842, 0, 340.418, 268.872, 253.982, 77.5626
15, 2700.00000, 124.385, 125.333, 125.537, 0, 362.24, 287.281, 280.794, 75.3911
16, 0.00000, 124.475, 125.398, 125.53, 0, 352.34, 279.724, 279.759, 69.1619
16, 900.00000, 124.761, 125.667, 125.956, 0, 328.201, 257.194, 243.203, 76.4169
16, 1800.00000, 124.898, 125.743, 125.957, 0, 317.449, 252.014, 243.934, 66.937
16, 2700.00000, 124.625, 125.468, 125.804, 0, 353.019, 282.732, 268.929, 76.1896
17, 0.00000, 124.47, 125.256, 125.511, 0, 364.546, 299.687, 292.743, 66.3584
17, 900.00000, 124.003, 124.878, 125.107, 0, 403.464, 329.66, 326.639, 72.9137
17, 1800.00000, 124.162, 124.941, 125.198, 0, 403.242, 331.57, 333.04, 69.5514
17, 2700.00000, 123.992, 124.775, 125.029, 0, 420.536, 348.613, 350.269, 69.7319
18, 0.00000, 123.526, 124.432, 124.924, 0, 461.437, 378.24, 360.347, 92.7928
18, 900.00000, 122.369, 123.313, 123.78, 0, 550.314, 462.632, 450.895, 93.4822
18, 1800.00000, 122.225, 123.112, 123.388, 0, 560.616, 478.502, 482.68, 78.9267
18, 2700.00000, 121.179, 122.071, 122.701, 0, 660.769, 571.825, 553.658, 100.258
19, 0.00000, 121.305, 122.082, 122.74, 0, 650.119, 571.372, 550.616, 91.9807
19, 900.00000, 121.517, 122.285, 122.926, 0, 637.496, 560.067, 539.863, 90.2671
19, 1800.00000, 121.326, 122.04, 122.597, 0, 653.093, 578.282, 568.801, 81.2216
19, 2700.00000, 121.114, 121.884, 122.518, 0, 668.762, 588.994, 573.346, 90.0481
20, 0.00000, 121.392, 122.306, 122.948, 0, 646.974, 554.767, 537.914, 103.018
20, 900.00000, 121.371, 122.126, 122.629, 0, 650.154, 572.531, 566.594, 81.9015
20, 1800.00000, 121.715, 122.562, 123.192, 0, 621.469, 535.893, 518.868, 96.5133
20, 2700.00000, 122.065, 122.786, 123.266, 0, 590.87, 516.641, 512.118, 77.6042
21, 0.00000, 120.974, 121.87, 122.191, 0, 679.665, 590.061, 600.922, 85.5495
21, 900.00000, 122.084, 122.933, 123.478, 0, 591.565, 505.905, 495.734, 92.2505
21, 1800.00000, 122.232, 122.979, 123.561, 0, 580.212, 504.462, 488.986, 85.6793
21, 2700.00000, 122.689, 123.317, 123.751, 0, 545.97, 480.596, 477.797, 67.6715
22, 0.00000, 122.829, 123.465, 123.904, 0, 539.851, 474.009, 469.46, 69.0678
22, 900.00000, 122.431, 123.137, 123.633, 0, 570.207, 498.144, 489.634, 77.6519
22, 1800.00000, 122.311, 123.096, 123.7, 0, 580.018, 500.981, 483.158, 90.4232
22, 2700.00000, 122.458, 123.289, 123.824, 0, 569.624, 486.254, 474.508, 90.8163
23, 0.00000, 122.762, 123.453, 124.061, 0, 544.849, 474.32, 455.165, 82.876
23, 900.00000, 123.138, 123.826, 124.203, 0, 515.283, 445.02, 445.375, 70.7744
23, 1800.00000, 122.886, 123.588, 124.004, 0, 534.113, 463.104, 459.595, 73.6155
23, 2700.00000, 123.311, 123.964, 124.328, 0, 501.119, 434.331, 435.056, 67.0841
24, 0.00000, 123.297, 123.954, 124.399, 0, 502.906, 435.889, 429.648, 71.122
24, 900.00000, 123.023, 123.585, 124.123, 0, 529.511, 471.05, 456.502, 67.9154
24, 1800.00000, 123.666, 124.235, 124.756, 0, 480.651, 421.802, 407.489, 68.0081
24, 2700.00000, 123.746, 124.287, 124.751, 0, 476.99, 420.482, 410.627, 62.789
25, 0.00000, 123.75, 124.345, 124.81, 0, 471.339, 410.209, 400.49, 67.2766
25, 900.00000, 124.003, 124.554, 125.024, 0, 452.569, 395.686, 384.573, 63.9063
25, 1800.00000, 123.985, 124.553, 124.987, 0, 456.582, 397.949, 389.998, 63.6677
25, 2700.00000, 124.132, 124.637, 124.9, 0, 442.885, 390.021, 396.71, 50.3019
26, 0.00000, 124.056, 124.658, 124.963, 0, 446.74, 384.866, 389.256, 60.2877
26, 900.00000, 124.191, 124.754, 125.062, 0, 439.82, 381.72, 384.491, 57.2541
26, 1800.00000, 124.242, 124.803, 125.118, 0, 434.441, 376.815, 378.811, 57.1537
26, 2700.00000, 124.359, 124.905, 125.265, 0, 426.113, 369.696, 367.191, 58.2498
27, 0.00000, 124.687, 125.146, 125.444, 0, 403.461, 354.766, 356.857, 48.1136
27, 900.00000, 124.664, 125.144, 125.603, 0, 404.221, 353.868, 341.967, 57.8713
27, 1800.00000, 124.968, 125.406, 125.723, 0, 382.04, 335.6, 335.024, 47.1628
27, 2700.00000, 124.486, 125.018, 125.401, 0, 415.627, 360.463, 356.184, 57.9828
28, 0.00000, 124.561, 125.084, 125.518, 0, 411.172, 356.527, 347.89, 60.0462
28, 900.00000, 124.617, 125.083, 125.446, 0, 408.149, 358.405, 356.05, 51.4853
28, 1800.00000, 124.318, 124.845, 125.113, 0, 427.672, 372.435, 379.329, 52.5368
28, 2700.00000, 124.558, 125.107, 125.48, 0, 411.784, 354.442, 351.356, 59.4666
29, 0.00000, 124.553, 125.071, 125.459, 0, 409.823, 355.801, 350.714, 57.2855
