hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 122.366, 122.802, 125.76, 0, 358.537, 328.527, 183.582, 163.461
0, 1800.00000, 122.793, 123.1, 125.993, 0, 339.72, 317.22, 175.049, 155.889
0, 2700.00000, 123.018, 123.423, 126.174, 0, 329.32, 301.059, 166.624, 151.791
1, 0.00000, 122.773, 123.057, 125.955, 0, 339.047, 317.816, 175.154, 155.589
1, 900.00000, 123, 123.225, 126.026, 0, 328.695, 311.062, 173.203, 148.579
1, 1800.00000, 123.106, 123.336, 126.121, 0, 324.619, 306.56, 169.611, 147.913
1, 2700.00000, 122.998, 123.313, 126.1, 0, 330.13, 307.381, 170.233, 150.98
2, 0.00000, 122.863, 123.163, 126.057, 0, 335.486, 313.264, 170.938, 155.851
2, 900.00000, 123.172, 123.414, 126.185, 0, 321.835, 303.182, 166.886, 147.603
2, 1800.00000, 123.218, 123.366, 126.147, 0, 318.472, 305.331, 168.316, 145.063
2, 2700.00000, 123.432, 123.539, 126.229, 0, 307.415, 296.574, 164.284, 138.978
3, 0.00000, 123.602, 124.011, 126.502, 0, 302.669, 274.668, 153.178, 138.682
3, 900.00000, 123.671, 123.896, 126.422, 0, 297.478, 280.149, 156.613, 133.996
3, 1800.00000, 123.92, 124.14, 126.566, 0, 287.035, 269.981, 151.398, 128.845
3, 2700.00000, 123.402, 123.616, 126.287, 0, 309.547, 292.63, 161.664, 141.211
4, 0.00000, 123.424, 123.701, 126.353, 0, 309.921, 289.264, 159.414, 142.365
4, 900.00000, 123.406, 123.931, 126.471, 0, 312.583, 277.721, 154.33, 145.179
4, 1800.00000, 123.15, 123.541, 126.246, 0, 321.863, 294.507, 162.401, 148.872
4, 2700.00000, 123.459, 123.749, 126.384, 0, 308.005, 286.324, 157.578, 141.895
5, 0.00000, 123.463, 123.598, 126.23, 0, 306.007, 293.496, 164.426, 136.707
5, 900.00000, 123.492, 123.711, 126.314, 0, 306.052, 288.629, 161.194, 137.971
5, 1800.00000, 123.167, 123.356, 126.168, 0, 321.446, 305.266, 167.315, 147.804
5, 2700.00000, 123.362, 123.467, 126.185, 0, 311.843, 300.695, 167.383, 140.208
6, 0.00000, 123.78, 123.808, 126.435, 0, 293.394, 286.686, 157.681, 133.346
6, 900.00000, 123.417, 123.533, 126.266, 0, 309.236, 297.349, 163.263, 141.398
6, 1800.00000, 123.143, 123.548, 126.25, 0, 324.02, 295.593, 163.516, 149.528
6, 2700.00000, 124.038, 124.717, 126.872, 0, 261.635, 214.83, 119.562, 119.645
7, 0.00000, 123.903, 124.44, 126.663, 0, 265.465, 226.292, 128.161, 117.05
7, 900.00000, 123.598, 124.17, 126.563, 0, 279.69, 238.256, 131.101, 127.519
7, 1800.00000, 124.481, 125.269, 127.071, 0, 220.053, 166.413, 96.2673, 93.8665
7, 2700.00000, 124.351, 125.026, 126.866, 0, 224.741, 177.095, 104.791, 91.1521
8, 0.00000, 124.021, 124.559, 126.492, 0, 237.417, 196.926, 119.786, 90.5597
8, 900.00000, 124.168, 124.62, 126.438, 0, 232.379, 196.969, 125.098, 81.6963
8, 1800.00000, 123.733, 124.412, 126.237, 0, 253.949, 205.545, 133.785, 90.9923
8, 2700.00000, 123.822, 124.625, 126.381, 0, 235.044, 180.997, 116.777, 81.6457
9, 0.00000, 123.461, 124.069, 126.082, 0, 247.789, 203.28, 126.426, 86.8507
9, 900.00000, 123.626, 124.256, 126.134, 0, 240.089, 194.82, 124.555, 80.714
9, 1800.00000, 124.672, 125.489, 126.794, 0, 169.47, 139.166, 88.1682, 37.0237
9, 2700.00000, 124.97, 125.805, 126.975, 0, 159.507, 133.435, 84.3608, 32.5137
10, 0.00000, 125.19, 125.771, 126.919, 0, 148.924, 133.786, 85.5396, 18.1694
10, 900.00000, 124.655, 125.459, 126.775, 0, 169.675, 139.658, 88.2423, 37.0664
