hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 126.893, 125.432, 127.116, 0, 182.838, 301.41, 187.631, 116.495
0, 1800.00000, 127.15, 125.718, 127.266, 0, 167.863, 284.288, 180.986, 110.668
0, 2700.00000, 127.2, 125.814, 127.367, 0, 166.861, 279.035, 174.84, 108.623
1, 0.00000, 127.142, 125.711, 127.244, 0, 166.111, 282.483, 180.205, 110.221
1, 900.00000, 127.23, 125.819, 127.315, 0, 161.88, 276.909, 176.867, 108.522
1, 1800.00000, 127.252, 125.872, 127.389, 0, 162.637, 274.63, 172.816, 107.473
1, 2700.00000, 127.349, 125.943, 127.442, 0, 153.126, 267.751, 167.236, 108.458
2, 0.00000, 127.201, 125.792, 127.411, 0, 163.163, 277.519, 167.767, 112.337
2, 900.00000, 127.37, 125.963, 127.443, 0, 153.507, 268.043, 169.227, 107.738
2, 1800.00000, 127.415, 125.98, 127.425, 0, 148.545, 265.843, 169.941, 108.391
2, 2700.00000, 127.422, 126.039, 127.478, 0, 149.751, 262.4, 166.315, 105.537
3, 0.00000, 127.578, 126.235, 127.618, 0, 142.356, 251.753, 159.722, 102.007
3, 900.00000, 127.546, 126.17, 127.524, 0, 143.858, 256.32, 166.846, 103.09
3, 1800.00000, 127.706, 126.382, 127.702, 0, 134.651, 242.654, 155.141, 99.5189
3, 2700.00000, 127.43, 126.019, 127.477, 0, 149.761, 264.837, 167.46, 107.519
4, 0.00000, 127.422, 126.06, 127.538, 0, 152.626, 263.289, 164.137, 105.573
4, 900.00000, 127.411, 126.057, 127.593, 0, 155.619, 265.377, 161.23, 107.257
4, 1800.00000, 127.334, 125.896, 127.467, 0, 155.4, 272.395, 166.122, 112.225
4, 2700.00000, 127.377, 126.055, 127.595, 0, 156.858, 263.545, 159.16, 105.752
5, 0.00000, 127.405, 126.042, 127.515, 0, 151.908, 262.812, 163.514, 105.77
5, 900.00000, 127.489, 126.145, 127.634, 0, 146.829, 255.834, 155.136, 105.282
5, 1800.00000, 127.19, 125.841, 127.492, 0, 168.983, 277.631, 164.701, 111.065
5, 2700.00000, 127.262, 125.941, 127.524, 0, 164.655, 271.243, 163.324, 107.464
6, 0.00000, 127.487, 126.234, 127.674, 0, 152.246, 252.991, 156.41, 98.915
6, 900.00000, 127.309, 125.996, 127.514, 0, 161.444, 267.104, 165.064, 104.103
6, 1800.00000, 127.232, 125.9, 127.466, 0, 166.523, 273.687, 167.823, 106.734
6, 2700.00000, 127.519, 126.279, 127.632, 0, 145.091, 244.755, 154.814, 95.8381
7, 0.00000, 127.229, 125.966, 127.505, 0, 165.626, 266.64, 161.808, 103.432
7, 900.00000, 127.098, 125.804, 127.367, 0, 173.105, 276.408, 170.323, 105.212
7, 1800.00000, 127.36, 126.218, 127.705, 0, 153.876, 244.658, 141.876, 97.7198
7, 2700.00000, 127.21, 126.127, 127.681, 0, 163.795, 249.276, 140.542, 99.1719
8, 0.00000, 127.027, 125.929, 127.526, 0, 171.705, 258.305, 146.209, 101.724
8, 900.00000, 127.043, 126.016, 127.568, 0, 174.736, 255.379, 145.648, 98.2516
8, 1800.00000, 126.957, 125.875, 127.459, 0, 178.192, 263.711, 151.695, 101.31
8, 2700.00000, 126.82, 125.77, 127.413, 0, 184.119, 266.485, 150.04, 103.155
9, 0.00000, 126.618, 125.525, 127.309, 0, 191.761, 277.57, 150.017, 111.888
9, 900.00000, 126.727, 125.64, 127.373, 0, 184.304, 269.84, 145.888, 109.242
9, 1800.00000, 126.573, 125.603, 127.418, 0, 192.231, 267.394, 135.066, 112.523
9, 2700.00000, 126.815, 125.859, 127.516, 0, 177.007, 252.104, 131.281, 103.748
10, 0.00000, 126.688, 125.794, 127.484, 0, 187.162, 256.455, 132.765, 104.85
10, 900.00000, 126.527, 125.569, 127.406, 0, 195.242, 269.41, 134.798, 114.172
10, 1800.00000, 126.483, 125.651, 127.476, 0, 200.715, 263.863, 129.594, 112.959
10, 2700.00000, 126.525, 125.745, 127.408, 0, 183.657, 244.432, 121.471, 101.441
11, 0.00000, 126.611, 125.853, 127.43, 0, 177.35, 236.498, 120.432, 95.6902
11, 900.00000, 126.562, 125.881, 127.58, 0, 183.275, 235.67, 108.72, 104.325
11, 1800.00000, 126.559, 125.7, 127.301, 0, 176.519, 245.08, 126.977, 98.5979
11, 2700.00000, 126.554, 125.808, 127.361, 0, 179.412, 238.215, 123.884, 93.7519
12, 0.00000, 126.719, 126.031, 127.595, 0, 169.46, 223.389, 107.47, 94.4632
12, 900.00000, 126.367, 125.584, 127.383, 0, 191.592, 252.575, 118.867, 109.82
12, 1800.00000, 126.522, 125.726, 127.365, 0, 179.442, 242.105, 121.535, 99.3069
12, 2700.00000, 126.361, 125.607, 127.36, 0, 191.671, 250.898, 120.396, 106.6
13, 0.00000, 126.672, 125.942, 127.505, 0, 167.275, 224.973, 109.867, 93.928
13, 900.00000, 126.617, 125.844, 127.431, 0, 169.479, 230.698, 114.078, 95.6931
13, 1800.00000, 126.514, 125.736, 127.374, 0, 177.441, 238.972, 118.156, 99.0018
13, 2700.00000, 126.108, 125.254, 127.108, 0, 199.459, 266.582, 129.648, 112.654
